Movie,LeadStudio,RottenTomatoes,AudienceScore,Story,Genre,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,OpeningWeekend
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.795,90,0.542166667,10.02
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.856,49.9,0.498116232,9.36
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.552,45,0.478933333,5.14
Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,0.473,1.02
A Dangerous Method,Independent,79,89,Love,Drama,,,0.54,8.44,8.972895,20,0.44864475,0.17
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.8,15,0.32,0.64
Take Shelter,Independent,92,85,Sacrifice,Drama,,,1.57,,1.573,5,0.3146,0.05
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,0.303333333,0.11
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,,6.928,25,0.27712,3.46
Red State,Independent,57,59,Escape,Horror,,,1.10,,1.104,4,0.276,
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.992,150,0.259946667,6.91
Dylan Dog: Dead of Night,Independent,6,28,Monster Force,Horror,,,1.19,3.45,4.633,20,0.23165,0.75
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,0.180731707,3.25
Vanishing on 7th Street,Independent,52,62,Monster Force,Horror,,,0.02,1.05,1.067,10,0.1067,0.00
Trespass,Independent,11,24,Escape,Thriller,,,0.02,3.10,3.124,35,0.089257143,0.02
Hesher,Independent,54,68,Wretched Excess,Drama,,,0.38,,0.382,7,0.054571429,0.13
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.103,30,0.036766667,0.05
Waiting For Forever,Independent,6,53,Love,Romance,3,2972,0.03,,0.025,5,0.005,0.01
The Son Of No One,Independent,18,61,Discovery,Thriller,,,0.03,,0.03,15,0.002,0.02
Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,,11.36
Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.147,,,0.18
Never Back Down 2: The Beatdown,Sony,,44,Rivalry,Action,,,,,,3,0,8.60
