Year,Winner,USC,UCLA,Site,Trivia
1969,USC,14,12,Coliseum*,"Both teams undefeated with one tie each on their records. 1970 Rose Bowl on the line for both teams. USC ranked #5, UCLA ranked #6. A phantom pass interference vs UCLA on SC' final 4th down allowed SC to steal the victory and the Rose Bowl."
1970,UCLA,20,45,Coliseum**,
1971,TIE,7,7,Coliseum*,
1972,USC,24,7,Coliseum**,"1973 Rose Bowl on the line for both teams. USC ranked #1, UCLA ranked #10. USC would go on to win the AP and UPI National Championship."
1973,USC,23,13,Coliseum*,"1974 Rose Bowl on the line for both teams. UCLA ranked #6, USC ranked #10"
1974,USC,34,9,Coliseum**,1975 Rose Bowl on the line for both teams. USC ranked #6
1975,UCLA,22,25,Coliseum*,1976 Rose Bowl on the line for UCLA; a USC win would have put California in the Rose Bowl. Game played on Friday night after Thanksgiving (November 28) UCLA beats #1 ranked Ohio State in the Rose Bowl.
1976,USC,24,14,Coliseum**,"1977 Rose Bowl on the line for both teams. First game for both John Robinson and Terry Donahue in the rivalry. UCLA ranked #2, USC ranked #3"
1977,USC,29,27,Coliseum*,1978 Rose Bowl on the line for UCLA; the Trojans' win put Washington in.
1978,USC,17,10,Coliseum**,1979 Rose Bowl on the line for both teams. USC ranked number 3. USC went on to win the UPI National Championship.
1979,USC,49,14,Coliseum*,1980 Rose Bowl on the line for USC. USC ranked number 3.
1980,UCLA,17,20,Coliseum**,"Neither team bowl eligible due to probation [28] Last ""Home"" UCLA-USC game for UCLA at the Coliseum"
1981,USC,22,21,Coliseum*,Last game at the Coliseum as a shared stadium for UCLA and USC. Rose Bowl on the line for UCLA. USC's win put Washington in.
1982,UCLA,19,20,Rose Bowl**,"UCLA needed to win to keep Rose Bowl hopes alive. Bruins later earned Rose Bowl berth when Washington and Arizona State lost. USC and UCLA ""share"" Rose Bowl and wear home uniforms"
1983,UCLA,17,27,Coliseum*,UCLA needed to win to keep Rose Bowl hopes alive. Bruins later earned Rose Bowl berth when Washington lost to Washington State.
1984,UCLA,10,29,Rose Bowl**,"USC in the 1985 Rose Bowl already before the game, USC fans at end zones in Rose Bowl for first time. USC wears its road white jerseys for the first time."
1985,USC,17,13,Coliseum*,1986 Rose Bowl on the line for UCLA. UCLA goes to the Rose Bowl despite the loss when Arizona defeats Arizona State.
1986,UCLA,25,45,Rose Bowl**,"UCLA took a 31-0 halftime lead because of a fake kneel down TD pass to end the first hand in a game called ""Hail Mary, in your face"". UCLA backups played most of the second half."
1987,USC,17,13,Coliseum*,1988 Rose Bowl on the line for both teams
1988,USC,31,22,Rose Bowl**,"1989 Rose Bowl on the line for both teams. USC ranked #2, UCLA ranked #4."
1989,TIE,10,10,Coliseum*,"USC already in the 1990 Rose Bowl before the game, last tie in the series. UCLA field goal attempt to win in the final seconds hits crossbar, bounces back on the field."
1990,USC,45,42,Rose Bowl**,
1991,UCLA,21,24,Coliseum*,Start of the longest winning streak in the series (8).
1992,UCLA,37,38,Rose Bowl****,Walk-on and fifth-string QB John Barnes leads the Bruins past Rob Johnson and the Trojans.
1993,UCLA,21,27,Coliseum*,1994 Rose Bowl on the line for both teams
1994,UCLA,19,31,Rose Bowl**,1995 Rose Bowl possibly on the line for USC. A USC win and Oregon loss to Oregon St. would have put the Trojans in the Rose Bowl. But USC lost and Oregon won.
1995,UCLA,20,24,Coliseum*,Terry Donahue's last year as head coach of UCLA. USC already had clinched 1996 Rose Bowl berth
1996,UCLA,41,48(2OT),Rose Bowl**,"Only overtime game in the series, the first year the rule is in place. UCLA rallied from 17 point 4th quarter deficit"
1997,UCLA,24,31,Coliseum*,
1998,UCLA,17,34,Rose Bowl**,"UCLA had clinched at least a 1999 Rose Bowl berth and was ranked #1 in the standings. Legendary USC fan Giles Pellerin died during this game. This was the 797th consecutive USC game he attended, which included all previous games in this rivalry."
1999,USC,17,7,Coliseum*,
2000,USC,38,35,Rose Bowl**,
2001,USC,27,0,Coliseum*,Pete Carroll's first game in the rivalry
2002,USC,52,21,Rose Bowl**,USC ranked #4
2003,USC,47,22,Coliseum*,Karl Dorrell's first game in the rivalry. BCS in the 2004 Rose Bowl on the line for USC with the win. USC ranked #2. Wins the AP National Championship with a Rose Bowl victory over Michigan.
2004,USC,29,24,Rose Bowl**,USC forced to vacate due to NCAA sanctions.[30] BCS on line for USC. The game day moved to the first Saturday in December from the third Saturday in November rivalry weekend to coincide with conference championship games. USC ranked #1.
2005,USC,66,19,Coliseum*,"USC forced to vacate due to NCAA sanctions.[30] BCS in 2006 Rose Bowl on the line for USC, BCS Bowl berth and a tie for first in the conference on the line for UCLA. USC ranked #1"
2006,UCLA,9,13,Rose Bowl**,BCS Championship game on the line for USC. Trojans still earn another Pac-10 Title 2007 Rose Bowl Game. USC ranked #2.
2007,USC,24,7,Coliseum*,"2008 Rose Bowl on the line for USC, and with a win and an ASU loss for UCLA. USC clinches 6th straight Pac-10 title."
2008,USC,28,7,Rose Bowl**,"2009 Rose Bowl on the line for USC, Rick Neuheisel's first game in the rivalry as UCLA's head coach, return to both teams wearing home jerseys."
2009,USC,28,7,Coliseum*,"For the first time since 2001, the game does not have implications for a major bowl game. First time in the series that the final score (28–7) was identical for two consecutive years."
2010,USC,28,14,Rose Bowl**,"For the first time since 1980, neither UCLA nor USC are bowl eligible (UCLA due to record, USC due to probation).[citation needed] Lane Kiffin's first game in the rivalry as USC's head coach; at 35, he was the youngest head coach in the rivalry's history."
2011,USC,50,0,Coliseum*,"The largest margin of victory in rivalry since 1930. UCLA fired head coach Rick Neuheisel.[31] Game was moved to third Saturday in November, as prior to 2004. Due to USC's ineligibility, UCLA was named the South Division representative prior to the game.[32]"
2012,UCLA,28,38,Rose Bowl**,Jim L. Mora's first game in the rivalry as UCLA head coach. First time a berth in the Pac-12 Football Championship Game is on the line for both teams.
2013,UCLA,14,35,Coliseum*,Arizona State had already clinched the Pac-12 South. USC had fired head coach Lane Kiffinearlier in the season. Ed Orgeron coached as interim in this game. First game since 2010 without implications for a major bowl game.
2014,UCLA,20,38,Rose Bowl**,UCLA and USC in contention for Pac-12 South Division title.[33] Steve Sarkisian's only game in the rivalry as USC head coach as he was fired during the 2015 college football season.
2015,USC,40,21,Coliseum*,USC and UCLA in contention for Pac-12 South Division title. Clay Helton was USC's fourth Head Coach to coach the rivalry in the last four years.
2016,USC,36,14,Rose Bowl**,USC in contention for Pac-12 South Division title. Clay Helton was USC's first Head Coach to coach the rivalry in two consecutive games since Lane Kiffin in 2010-2012.
